filename,width,height,class,xmin,ymin,xmax,ymax
flying termite_10.jpg,480,332,flying termite,55,75,432,232
flying termite_102.jpg,320,240,flying termite,15,19,319,240
flying termite_104.jpg,640,480,flying termite,490,274,516,336
flying termite_104.jpg,640,480,flying termite,8,230,47,283
flying termite_104.jpg,640,480,flying termite,24,345,74,394
flying termite_104.jpg,640,480,flying termite,489,397,527,464
flying termite_104.jpg,640,480,flying termite,390,264,416,326
flying termite_104.jpg,640,480,flying termite,532,183,583,216
flying termite_104.jpg,640,480,flying termite,29,10,67,65
flying termite_104.jpg,640,480,flying termite,75,262,101,330
flying termite_104.jpg,640,480,flying termite,104,274,126,333
flying termite_104.jpg,640,480,flying termite,489,342,527,398
flying termite_104.jpg,640,480,flying termite,458,216,514,254
flying termite_104.jpg,640,480,flying termite,615,107,636,160
flying termite_104.jpg,640,480,flying termite,612,61,636,112
flying termite_104.jpg,640,480,flying termite,591,185,629,228
flying termite_104.jpg,640,480,flying termite,583,278,603,340
flying termite_104.jpg,640,480,flying termite,599,313,631,366
flying termite_104.jpg,640,480,flying termite,309,406,336,470
flying termite_104.jpg,640,480,flying termite,312,353,359,396
flying termite_104.jpg,640,480,flying termite,39,118,59,178
flying termite_104.jpg,640,480,flying termite,345,89,402,113
flying termite_104.jpg,640,480,flying termite,426,118,450,173
flying termite_104.jpg,640,480,flying termite,524,365,546,429
flying termite_104.jpg,640,480,flying termite,601,376,628,437
flying termite_104.jpg,640,480,flying termite,571,227,613,268
flying termite_104.jpg,640,480,flying termite,133,351,166,411
flying termite_104.jpg,640,480,flying termite,194,418,259,439
flying termite_104.jpg,640,480,flying termite,239,345,301,369
flying termite_104.jpg,640,480,flying termite,561,152,615,176
flying termite_104.jpg,640,480,flying termite,502,121,521,175
flying termite_104.jpg,640,480,flying termite,519,139,563,176
flying termite_104.jpg,640,480,flying termite,408,224,461,250
flying termite_104.jpg,640,480,flying termite,403,251,463,274
flying termite_104.jpg,640,480,flying termite,441,243,503,262
flying termite_104.jpg,640,480,flying termite,585,436,633,478
flying termite_104.jpg,640,480,flying termite,86,381,139,435
flying termite_11.jpg,1024,662,flying termite,62,62,989,534
flying termite_12.jpg,600,419,flying termite,341,41,560,192
flying termite_13.jpg,480,360,flying termite,194,189,311,261
flying termite_15.jpg,480,360,flying termite,252,124,340,296
flying termite_16.jpg,450,250,flying termite,2,60,413,227
flying termite_17.jpg,400,400,flying termite,99,13,209,162
flying termite_17.jpg,400,400,flying termite,233,185,293,288
